name,frame,lapvar,log_lapvar,hf025,log_hf025,reblur
frame_002460,2460,1.81545913e-02,-4.008832,2.34366472e-02,-3.753454,0.237401
frame_002470,2470,2.11309902e-02,-3.857015,2.76897685e-02,-3.586692,0.248421
frame_002480,2480,1.91104542e-02,-3.957520,4.69441237e-02,-3.058797,0.200915
frame_002490,2490,1.88894905e-02,-3.969150,4.69664961e-02,-3.058321,0.202635
frame_002500,2500,1.97446551e-02,-3.924872,4.71804965e-02,-3.053775,0.208161
frame_002510,2510,1.57110430e-02,-4.153391,3.72727673e-02,-3.289492,0.192345
frame_002520,2520,1.13550331e-02,-4.478094,2.42949561e-02,-3.717487,0.164401
frame_002530,2530,1.37763731e-02,-4.284800,2.78994318e-02,-3.579149,0.174613
frame_002540,2540,1.29133835e-02,-4.349491,2.38795853e-02,-3.734731,0.170489
frame_002550,2550,2.85686329e-02,-3.555446,3.67445849e-02,-3.303764,0.235429
frame_002560,2560,2.32130438e-02,-3.763041,3.38694190e-02,-3.385243,0.226827
frame_002570,2570,2.14902889e-02,-3.840154,2.81332061e-02,-3.570805,0.213315
frame_002580,2580,3.05603556e-02,-3.488052,2.91361299e-02,-3.535776,0.240578
frame_002610,2610,2.05801483e-02,-3.883428,3.87993390e-02,-3.249352,0.221517
frame_002640,2640,1.80167630e-02,-4.016453,2.94598554e-02,-3.524727,0.217026
frame_002650,2650,7.83000514e-03,-4.849792,7.82775149e-03,-4.850080,0.145643
frame_002660,2660,2.31355261e-02,-3.766386,1.48195204e-02,-4.211810,0.236748
frame_002670,2670,1.36919124e-02,-4.290950,8.72954757e-03,-4.741042,0.200100
frame_002680,2680,1.02227619e-02,-4.583138,8.27370204e-03,-4.794673,0.174112
frame_002690,2690,7.84627534e-03,-4.847716,5.84745576e-03,-5.141749,0.138628
frame_002700,2700,9.38234385e-03,-4.668926,1.47439560e-02,-4.216922,0.162165
frame_002710,2710,2.22790241e-02,-3.804110,3.02515554e-02,-3.498208,0.234818
frame_002720,2720,1.34928180e-02,-4.305598,1.14446929e-02,-4.470229,0.218476
frame_002730,2730,2.85011865e-02,-3.557810,1.61773817e-02,-4.124141,0.293506
frame_002750,2750,5.05787805e-02,-2.984223,2.80778186e-02,-3.572775,0.338220
